OrderiD,Item_Id,CustomerCode,CountryName,customer_country,QtyRequired,TotalArea,Amount,ITEM_NAME,QualityName,DesignName,ColorName,ShapeName
1550,11520,M-1,USA,M-1USA,2,100,500,DOUBLE BACK,D.B. PET YARN 60C,NAHLA,CARBON,SQUARE
1550,11521,M-1,USA,M-1USA,2,100,500,DOUBLE BACK,D.B. PET YARN 60C,NAHLA,SAND,SQUARE
1550,11522,M-1,USA,M-1USA,2,100,500,DOUBLE BACK,D.B. PET YARN 60C,NAHLA,NICKEL,SQUARE
1550,1437,M-1,USA,M-1USA,1,140,448,HANDWOVEN,SHAGGY 00C FELTED V/V,TEXTURE LOOP,SAND,REC
1550,2409,M-1,USA,M-1USA,2,54,432,JACQUARD,JACQUARD 60C 2PLY+VISCOSE 8PLY,GALON,SILVER,REC
1550,2491,M-1,USA,M-1USA,1,108,421.2,KNOTTED,KNOTTED 3/25 30C HS,DOUBLE DIAMOND,GREY/WHITE,REC
1550,2426,M-1,USA,M-1USA,2,54,378,HANDWOVEN,SHAGGY 30C MS+30C HS,NOURA PILE [MOROCCAN] ,IRON,REC
1550,2381,M-1,USA,M-1USA,2,35,280,JACQUARD,JACQUARD 60C 2PLY+VISCOSE 8PLY,GRECO,CHARCOAL,REC
1550,1485,M-1,USA,M-1USA,1,80,256,HANDWOVEN,SHAGGY 00C FELTED V/V,TEXTURE LOOP,GRAPHITE,REC
1550,3700,M-1,USA,M-1USA,3,24.75,237.6,HANDWOVEN,SHAGGY 00C FELTED V/V,TEXTURE LOOP,IVORY,REC
1550,2494,M-1,USA,M-1USA,2,35,227.5,DOUBLE BACK,D.B. 60C 2PLY+LEFA VISCOSE,HOMER,PLAT/CREAM,REC
